,estimate,se,n,tstat,fstat,pvalue,df,fdr
ENSG00000169554,0.580547866,0.143936203,34,4.033369333,16.26806818,0.000318858,32,0.303482659
ENSG00000113361,0.56359031,0.146027177,34,3.859489191,14.89565681,0.000518884,32,0.304598189
ENSG00000154721,0.522786157,0.150695744,34,3.469150109,12.03500248,0.001513715,32,0.35225825
ENSG00000183287,0.518877641,0.151117296,34,3.433608548,11.78966766,0.001665692,32,0.355405322
ENSG00000166741,0.507739304,0.152295026,34,3.333919153,11.11501692,0.00217442,32,0.366522994
ENSG00000050165,0.499023467,0.153192646,34,3.257489701,10.61123915,0.002662267,32,0.368292836
ENSG00000077092,0.486322029,0.15446388,34,3.148451473,9.912746675,0.003542685,32,0.368292836
ENSG00000133110,0.461863173,0.1567923,34,2.945700605,8.677152053,0.005963951,32,0.368292836
ENSG00000134871,0.479460724,0.155132747,34,3.090648059,9.552105423,0.004115675,32,0.368292836
ENSG00000137573,0.46010809,0.156953471,34,2.93149356,8.593654494,0.006182288,32,0.368292836
ENSG00000161544,0.484353164,0.154657082,34,3.131787817,9.808094929,0.003699567,32,0.368292836
ENSG00000163359,0.460357128,0.156930649,34,2.933506814,8.605462228,0.006150896,32,0.368292836
ENSG00000163453,0.472455469,0.155802943,34,3.032391164,9.195396171,0.004781553,32,0.368292836
ENSG00000164692,0.487833817,0.154314833,34,3.161289209,9.993749465,0.003426165,32,0.368292836
ENSG00000168542,0.479801997,0.155099771,34,3.093505523,9.569776423,0.004085392,32,0.368292836
ENSG00000170396,0.489757519,0.154124298,34,3.177678836,10.09764279,0.003282706,32,0.368292836
ENSG00000187498,0.467331307,0.156285141,34,2.990247851,8.941582208,0.005325565,32,0.368292836
ENSG00000244486,0.454549436,0.157458805,34,2.886783214,8.333517323,0.006919586,32,0.381780344
ENSG00000144642,0.452872053,0.157609774,34,2.873375439,8.256286415,0.007156329,32,0.384707805
ENSG00000120708,0.446883735,0.158143025,34,2.825820071,7.985259072,0.008058803,32,0.396771712
ENSG00000139269,0.447366677,0.15810035,34,2.829637494,8.006848346,0.007982593,32,0.396771712
ENSG00000157227,0.447249464,0.158110712,34,2.828710698,8.001604214,0.008001033,32,0.396771712
ENSG00000136732,0.442147531,0.158558503,34,2.788545067,7.775983589,0.008839628,32,0.404955577
ENSG00000172551,-0.434410468,0.159225424,34,-2.728273262,7.44347499,0.010253413,32,0.424388324
ENSG00000151702,0.432347362,0.159400808,34,2.712328553,7.35672618,0.01066123,32,0.428084367
ENSG00000136542,0.427608197,0.1597998,34,2.67589946,7.16043792,0.011650286,32,0.437198531
ENSG00000166250,0.423274554,0.160159945,34,2.642824055,6.984518987,0.012621457,32,0.451686353
ENSG00000164509,0.414450626,0.160879485,34,2.576155844,6.636578933,0.014810863,32,0.478705789
ENSG00000185860,0.410409364,0.161202915,34,2.545917757,6.481697226,0.015915167,32,0.491343246
ENSG00000135679,-0.410155891,0.161223074,34,-2.544027235,6.472074574,0.015986667,32,0.492365091
ENSG00000130224,0.409705502,0.161258857,34,2.540669771,6.455002885,0.016114376,32,0.493709038
ENSG00000112837,0.408196267,0.161378419,34,2.529435286,6.398042867,0.016548564,32,0.496406259
ENSG00000169432,0.407943145,0.161398419,34,2.527553539,6.388526893,0.016622333,32,0.496489084
ENSG00000204381,0.407759723,0.161412903,34,2.526190384,6.381637854,0.016675961,32,0.496956913
ENSG00000105270,0.401622053,0.161893071,34,2.480785933,6.154298846,0.018555646,32,0.509672552
ENSG00000124772,0.395201638,0.162386082,34,2.433716204,5.922974563,0.020707513,32,0.533862644
ENSG00000110031,0.380032329,0.163513706,34,2.324161915,5.401728605,0.026623946,32,0.573203047
ENSG00000157152,0.366882353,0.164449588,34,2.230971561,4.977234104,0.032817226,32,0.60352983
ENSG00000118946,0.366280003,0.164491542,34,2.226740646,4.958373905,0.033126874,32,0.604586299
ENSG00000198756,0.365937115,0.164515389,34,2.224333639,4.947660138,0.033304201,32,0.604586299
ENSG00000163873,-0.365210546,0.164565836,34,-2.21923672,4.925011619,0.033682509,32,0.605679477
ENSG00000065534,0.364938052,0.164584725,34,2.217326373,4.916536245,0.033825289,32,0.60621887
ENSG00000081041,0.357119474,0.165119813,34,2.162789965,4.677660431,0.038136523,32,0.611827993
ENSG00000082175,-0.343600669,0.166013796,34,-2.069711535,4.283705836,0.046632733,32,0.611827993
ENSG00000127863,0.341743706,0.166133534,34,2.057042294,4.231422997,0.047909795,32,0.611827993
ENSG00000134827,-0.349295051,0.165642024,34,-2.108734501,4.446761194,0.042885831,32,0.611827993
